date,product_no,product_name,quantity,revenue
2026-07-10,136,오니스트 파우치 세트,1,0
2026-07-10,195,[최대 25% 할인] 케라그로우 망고,1,25410
2026-07-10,198,[25% 할인/공식몰 단독] 케라그로우 망고 24주 (9+3박스),1,294100
2026-07-11,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,33700
2026-07-11,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),1,307300
2026-07-11,70,[최대 25% 할인] 트리플샤인 포도,2,53820
2026-07-12,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,136800
2026-07-12,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),1,307300
2026-07-12,70,[최대 25% 할인] 트리플샤인 포도,1,31900
2026-07-12,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,302200
2026-07-12,231,오니스트 디스커버리 세트 (트리플콜라겐 1포 + 트리플샤인 1포 + 케라그로우 1포),1,3900
2026-07-12,242,[한정기획] 트리플콜라겐 Gift Set (Garden Edition),1,62400
2026-07-13,63,오니스트 선물쇼핑백(S),1,1828
2026-07-13,70,[최대 25% 할인] 트리플샤인 포도,2,167296
2026-07-13,90,[25% 할인/공식몰 단독] 글로우 시너지 세트  12주 루틴 (6+6박스),1,319200
2026-07-13,195,[최대 25% 할인] 케라그로우 망고,1,128475
2026-07-13,231,오니스트 디스커버리 세트 (트리플콜라겐 1포 + 트리플샤인 1포 + 케라그로우 1포),1,3900
2026-07-13,262,[Eternal Beauty] 글로우 시너지 Gift Set,1,68600
2026-07-13,264,[오니스트위크] 볼륨 시너지 세트,6,1290000
2026-07-13,265,[오니스트위크] 글로우 시너지 세트,9,1429500
2026-07-13,266,[오니스트위크] 케라그로우 망고,4,473002
2026-07-13,267,[오니스트위크] 트리플샤인 포도,21,1936841
2026-07-13,268,[오니스트위크] 트리플콜라겐 오렌지,26,3739394
2026-07-13,269,[오니스트위크/한정수량] 트리플콜라겐 트로피컬 12주(6box),112,16461776
2026-07-13,270,클리어 스트랩 파우치 + 썸머 시즌 스티커,24,0
2026-07-13,271,클리어 스트랩 파우치 + 썸머 시즌 스티커 + 트로피컬 스크런치,11,0
2026-07-14,70,[최대 25% 할인] 트리플샤인 포도,1,28410
2026-07-14,136,오니스트 파우치 세트,1,0
2026-07-14,165,[신규회원 전용] 오니스트 체험키트,1,0
2026-07-14,231,오니스트 디스커버리 세트 (트리플콜라겐 1포 + 트리플샤인 1포 + 케라그로우 1포),5,19130
2026-07-14,243,[한정기획] 트리플샤인 Gift Set (Garden Edition),1,53770
2026-07-14,264,[오니스트위크] 볼륨 시너지 세트,3,529500
2026-07-14,265,[오니스트위크] 글로우 시너지 세트,18,2781011
2026-07-14,266,[오니스트위크] 케라그로우 망고,4,432585
2026-07-14,267,[오니스트위크] 트리플샤인 포도,28,3228704
2026-07-14,268,[오니스트위크] 트리플콜라겐 오렌지,42,5252279
2026-07-14,269,[예약배송/한정수량] 트리플콜라겐 트로피컬 12주(6box),106,15619321
2026-07-14,270,클리어 스트랩 파우치 + 썸머 시즌 스티커,34,0
2026-07-14,271,클리어 스트랩 파우치 + 썸머 시즌 스티커 + 트로피컬 스크런치,13,0
2026-07-15,14,[25% 할인/공식몰 단독] 트리플콜라겐 오렌지 24주 (9+3박스),2,611750
2026-07-15,136,오니스트 파우치 세트,1,1344
2026-07-15,231,오니스트 디스커버리 세트 (트리플콜라겐 1포 + 트리플샤인 1포 + 케라그로우 1포),2,7696
2026-07-15,264,[오니스트위크] 볼륨 시너지 세트,1,217500
2026-07-15,265,[오니스트위크] 글로우 시너지 세트,9,1159400
2026-07-15,266,[오니스트위크] 케라그로우 망고,3,255100
2026-07-15,267,[오니스트위크] 트리플샤인 포도,18,1794687
2026-07-15,268,[오니스트위크] 트리플콜라겐 오렌지,17,2072613
2026-07-15,269,[예약배송/한정수량] 트리플콜라겐 트로피컬 12주(6box),72,10627249
2026-07-15,270,클리어 스트랩 파우치 + 썸머 시즌 스티커,21,0
2026-07-15,271,클리어 스트랩 파우치 + 썸머 시즌 스티커 + 트로피컬 스크런치,6,0
2026-07-16,11,[최대 25% 할인] 트리플콜라겐 오렌지,1,273600
2026-07-16,264,[오니스트위크] 볼륨 시너지 세트,3,648234
2026-07-16,265,[오니스트위크] 글로우 시너지 세트,8,826692
2026-07-16,266,[오니스트위크] 케라그로우 망고,4,756400
2026-07-16,267,[오니스트위크] 트리플샤인 포도,8,1068000
2026-07-16,268,[오니스트위크] 트리플콜라겐 오렌지,11,1687613
2026-07-16,269,[예약배송/한정수량] 트리플콜라겐 트로피컬 12주(6box),48,7059461
2026-07-16,270,클리어 스트랩 파우치 + 썸머 시즌 스티커,16,0
2026-07-16,271,클리어 스트랩 파우치 + 썸머 시즌 스티커 + 트로피컬 스크런치,5,0
